Provinsi,Daging Ayam,Daging Bebek,Daging Kambing,Daging Sapi
Aceh,5549,1697,2276,10740
Sumatera Utara,17853,2577,1187,14570
Sumatera Barat,5309,693,733,22022
Riau,3113,256,705,8611
Jambi,7589,531,1141,5094
Sumatera Selatan,4353,2354,1697,11615
Bengkulu ,4557,68,114,3149
Lampung,13224,767,1921,13522
Bangka Belitung,555,59,77,3015
Kepulauan Riau,1061,24,472,1401
Jakarta,1412,1094,842,19195
Jawa Barat,26943,8122,4454,82948
Jawa Tengah,34201,5598,12177,64154
Yogyakarta ,5317,429,1769,7338
Jawa Timur,50562,9881,25995,105874
Banten,4123,1373,4331,41394
Bali,3313,324,991,9081
NTB,11640,1169,323,10962
NTT,11810,178,2921,13116
Kalimantan Barat,3207,292,421,5404
Kalimantan Tengah,2235,175,222,3851
Kalimantan Selatan,2803,1642,271,6458
Kalimantan Timur,5075,139,573,7489
Kalimantan Utara,1311,20,101,591
Sulawesi Utara,2772,140,131,3484
Sulawesi Tengah,8540,896,1409,5011
Sulawesi Selatan,26458,2892,1143,18184
Sulawesi Tenggara,12013,390,314,4405
Gorontalo,2472,54,229,1924
Sulawesi Barat,5871,226,184,2175
Maluku,267,48,235,2193
Maluku Utara,1117,87,78,860
Papua Barat,1613,59,74,1970
Papua,4901,108,293,3827
